operating_point,prevalence,se,sp,PPV,NPV,LR+,LR-,每检出1例需复核阳性例数,source
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.005,0.94,0.9,0.0451,0.9997,9.4,0.067,22.2,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.01,0.94,0.9,0.0867,0.9993,9.4,0.067,11.5,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.02,0.94,0.9,0.161,0.9986,9.4,0.067,6.2,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.05,0.94,0.9,0.331,0.9965,9.4,0.067,3.0,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.1,0.94,0.9,0.5109,0.9926,9.4,0.067,2.0,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.2,0.94,0.9,0.7015,0.9836,9.4,0.067,1.4,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.3,0.94,0.9,0.8011,0.9722,9.4,0.067,1.2,out/table_domains.csv
本研究 · 内部验证（PTB-XL，Se@Sp90）,0.5,0.94,0.9,0.9038,0.9375,9.4,0.067,1.1,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.005,0.941,0.663,0.0138,0.9996,2.79,0.089,72.3,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.01,0.941,0.663,0.0274,0.9991,2.79,0.089,36.5,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.02,0.941,0.663,0.0539,0.9982,2.79,0.089,18.5,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.05,0.941,0.663,0.1281,0.9953,2.79,0.089,7.8,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.1,0.941,0.663,0.2368,0.9902,2.79,0.089,4.2,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.2,0.941,0.663,0.4111,0.9782,2.79,0.089,2.4,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.3,0.941,0.663,0.5448,0.9633,2.79,0.089,1.8,out/table_domains.csv
本研究 · 外部1 可穿戴（0.5 阈值）,0.5,0.941,0.663,0.7363,0.9183,2.79,0.089,1.4,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.005,0.596,0.9,0.0291,0.9977,5.96,0.449,34.4,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.01,0.596,0.9,0.0568,0.9955,5.96,0.449,17.6,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.02,0.596,0.9,0.1084,0.9909,5.96,0.449,9.2,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.05,0.596,0.9,0.2388,0.9769,5.96,0.449,4.2,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.1,0.596,0.9,0.3984,0.9525,5.96,0.449,2.5,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.2,0.596,0.9,0.5984,0.8991,5.96,0.449,1.7,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.3,0.596,0.9,0.7186,0.8387,5.96,0.449,1.4,out/table_domains.csv
本研究 · 外部1 可穿戴（Se@Sp90）,0.5,0.596,0.9,0.8563,0.6902,5.96,0.449,1.2,out/table_domains.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.005,0.877,0.9,0.0422,0.9993,8.77,0.137,23.7,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.01,0.877,0.9,0.0814,0.9986,8.77,0.137,12.3,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.02,0.877,0.9,0.1518,0.9972,8.77,0.137,6.6,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.05,0.877,0.9,0.3158,0.9929,8.77,0.137,3.2,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.1,0.877,0.9,0.4935,0.985,8.77,0.137,2.0,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.2,0.877,0.9,0.6868,0.967,8.77,0.137,1.5,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.3,0.877,0.9,0.7899,0.9447,8.77,0.137,1.3,out/table_ci.csv
本研究 · 外部1 严格 A vs N（Se@Sp90）,0.5,0.877,0.9,0.8976,0.8798,8.77,0.137,1.1,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.005,0.199,0.9,0.0099,0.9955,1.99,0.89,101.0,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.01,0.199,0.9,0.0197,0.9911,1.99,0.89,50.7,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.02,0.199,0.9,0.039,0.9822,1.99,0.89,25.6,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.05,0.199,0.9,0.0948,0.9553,1.99,0.89,10.5,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.1,0.199,0.9,0.1811,0.91,1.99,0.89,5.5,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.2,0.199,0.9,0.3322,0.818,1.99,0.89,3.0,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.3,0.199,0.9,0.4603,0.7239,1.99,0.89,2.2,out/table_ci.csv
本研究 · 外部1 A vs 噪声（Se@Sp90）,0.5,0.199,0.9,0.6656,0.5291,1.99,0.89,1.5,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.005,0.861,0.9,0.0415,0.9992,8.61,0.154,24.1,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.01,0.861,0.9,0.08,0.9984,8.61,0.154,12.5,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.02,0.861,0.9,0.1495,0.9969,8.61,0.154,6.7,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.05,0.861,0.9,0.3118,0.9919,8.61,0.154,3.2,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.1,0.861,0.9,0.4889,0.9831,8.61,0.154,2.0,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.2,0.861,0.9,0.6828,0.9628,8.61,0.154,1.5,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.3,0.861,0.9,0.7868,0.9379,8.61,0.154,1.3,out/table_ci.csv
本研究 · 中国域 CPSC2021（Se@Sp90）,0.5,0.861,0.9,0.8959,0.8662,8.61,0.154,1.1,out/table_ci.csv
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.005,0.963,0.995,0.4918,0.9998,192.6,0.037,2.0,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.01,0.963,0.995,0.6605,0.9996,192.6,0.037,1.5,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.02,0.963,0.995,0.7972,0.9992,192.6,0.037,1.3,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.05,0.963,0.995,0.9102,0.998,192.6,0.037,1.1,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.1,0.963,0.995,0.9554,0.9959,192.6,0.037,1.0,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.2,0.963,0.995,0.9797,0.9908,192.6,0.037,1.0,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.3,0.963,0.995,0.988,0.9843,192.6,0.037,1.0,PACE 2024;47(4):511-517
对照锚点 · 导师团队 PACE 2024（间期级，消融人群）,0.5,0.963,0.995,0.9948,0.9641,192.6,0.037,1.0,PACE 2024;47(4):511-517
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.005,0.986,0.9927,0.4043,0.9999,135.07,0.014,2.5,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.01,0.986,0.9927,0.577,0.9999,135.07,0.014,1.7,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.02,0.986,0.9927,0.7338,0.9997,135.07,0.014,1.4,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.05,0.986,0.9927,0.8767,0.9993,135.07,0.014,1.1,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.1,0.986,0.9927,0.9375,0.9984,135.07,0.014,1.1,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.2,0.986,0.9927,0.9712,0.9965,135.07,0.014,1.0,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.3,0.986,0.9927,0.983,0.994,135.07,0.014,1.0,Advanced Science 2026
对照锚点 · 导师团队 Adv Sci 2026（双模态校正后）,0.5,0.986,0.9927,0.9927,0.9861,135.07,0.014,1.0,Advanced Science 2026
