setting,n,auroc,brier,ece,ece_eq,cal_slope,cal_intercept,sens_at_spec90,spec_at_spec90,mean_pred,observed
hgb | 内部验证（未校准）,714,0.9702947756800252,0.07123462379389192,0.0641003211022014,0.05002853902740931,0.3221134110475639,-0.2655608280819233,0.936986301369863,0.8997134670487106,0.5417762235771721,0.511204481792717
hgb | 外部验证（未校准）,580,0.8988062015503876,0.18542752013013641,0.18948071355830656,0.18765435106186099,0.25958312754133767,-1.8008168585549376,0.6333333333333333,0.9,0.4389342637762941,0.25862068965517243
hgb | 外部 + 源域温度(T=3.32),580,0.8987906976744187,0.16337259939812,0.2019549594629314,0.20195495946293143,0.8623852597220184,-1.8008065425007982,0.6333333333333333,0.9,0.4605756491181037,0.25862068965517243
"hgb | 外部 + 目标域温度(T=5.46, oracle)",580,0.8987906976744187,0.1603449401902114,0.21589074739490013,0.2158907473949001,1.4175137301778666,-1.8005025012066753,0.6333333333333333,0.9,0.47451143705007254,0.25862068965517243
hgb | 外部 + 源域等渗,580,0.8945581395348837,0.2129468856367521,0.26556765057908305,0.26556765057908305,0.9048001138092506,-2.2155480431859833,0.68,0.8813953488372093,0.5241883402342554,0.25862068965517243
hgb | 外部 + 目标域等渗(oracle),580,0.9068527131782946,0.10459443767785165,4.474390207002248e-18,0.030246931414895806,1.0000474268080533,-0.00019026510600188284,0.64,0.9,0.2586206896551724,0.25862068965517243
logreg | 内部验证（未校准）,714,0.9494288966518822,0.0750384049728753,0.03962325894183821,0.04379391722458013,0.8674461101329191,-0.09642223387903477,0.863013698630137,0.8997134670487106,0.5234723672985612,0.511204481792717
logreg | 外部验证（未校准）,580,0.8350697674418606,0.548921232015942,0.5975768502045242,0.5975768502045242,0.2992306296561496,-3.095733917588362,0.48,0.9,0.8561975398596966,0.25862068965517243
logreg | 外部 + 源域温度(T=1.00),580,0.8333720930232557,0.5487969716410974,0.5975179513094073,0.5975179513094074,0.2996886253016719,-3.095725708358944,0.48,0.9,0.8561386409645798,0.25862068965517243
"logreg | 外部 + 目标域温度(T=20.09, oracle)",580,0.8333720930232557,0.263977110119163,0.3078680045848611,0.30786800458486113,6.011255836535072,-3.095798775654355,0.48,0.9,0.5664886942400337,0.25862068965517243
logreg | 外部 + 源域等渗,580,0.6385581395348837,0.5821824164000203,0.6160835034303311,0.616083503430331,0.6970406402993736,-3.6929777035764406,0.9733333333333334,0.3023255813953488,0.8747041930855033,0.25862068965517243
logreg | 外部 + 目标域等渗(oracle),580,0.8485193798449613,0.1285988282157432,4.421750322213985e-17,0.03467885902257428,0.9999857336938306,-8.511185851160525e-06,0.5866666666666667,0.8860465116279069,0.2586206896551725,0.25862068965517243
