domain,method,setting,n,auroc,brier,ece,ece_eq,se_at_sp90,mean_pred,observed
源域 PTB-XL,未校准,内部验证（源域测试集）,714,0.9664560191545316,0.0754675975237237,0.07064821284642137,0.052153033091961405,0.9205479452054794,0.5408002642245701,0.511204481792717
CinC2017（消费级可穿戴单导联）,未校准,未校准,2537,0.8594133996597656,0.2564688973131592,0.26311371772931974,0.2628372885169216,0.4287598944591029,0.5564045401631996,0.29877808435159636
CinC2017（消费级可穿戴单导联）,温度缩放(源域拟合),源域温度 T=3.19,2537,0.8594133996597655,0.22308217672436526,0.26313127960888444,0.26313127960888444,0.4287598944591029,0.5619093639604809,0.29877808435159636
CinC2017（消费级可穿戴单导联）,温度缩放(目标域拟合),目标域温度 T=8.12（oracle）,2537,0.8594133996597655,0.2011431605268339,0.24208861487117583,0.24208861487117583,0.4287598944591029,0.5408666992227723,0.29877808435159636
CinC2017（消费级可穿戴单导联）,等渗回归(源域拟合),源域等渗,2537,0.8554912115994134,0.2705695500806258,0.32515898242100383,0.3251589824210038,0.6649076517150396,0.6239370667726002,0.29877808435159636
CinC2017（消费级可穿戴单导联）,等渗回归(目标域拟合),目标域等渗（oracle）,2537,0.8634546104434468,0.13251316445203631,3.4254121896938954e-17,0.007016517044145518,0.6108179419525066,0.2987780843515964,0.29877808435159636
CPSC2021（中国动态 ECG 30 秒窗）,未校准,未校准,583,0.9211810466760962,0.1483298171015643,0.15866236260657052,0.15833729687364376,0.7535714285714286,0.6386117394122374,0.48027444253859347
CPSC2021（中国动态 ECG 30 秒窗）,温度缩放(源域拟合),源域温度 T=3.19,583,0.9211810466760961,0.12762429099559397,0.14286844547225586,0.14286844547225586,0.7535714285714286,0.6231428880108493,0.48027444253859347
CPSC2021（中国动态 ECG 30 秒窗）,温度缩放(目标域拟合),目标域温度 T=4.61（oracle）,583,0.9211810466760961,0.1247962711637624,0.1272617753698544,0.1280990518007607,0.7535714285714286,0.6075362179084479,0.48027444253859347
CPSC2021（中国动态 ECG 30 秒窗）,等渗回归(源域拟合),源域等渗,583,0.9172677982083922,0.15639909016411407,0.17993937056558668,0.17993937056558662,0.7607142857142857,0.6602138131041801,0.48027444253859347
CPSC2021（中国动态 ECG 30 秒窗）,等渗回归(目标域拟合),目标域等渗（oracle）,583,0.9270803866100896,0.09255624603884709,2.4756259554248774e-18,0.0184753370698407,0.8678571428571429,0.48027444253859347,0.48027444253859347
