key,dataset,n,auroc,auprc,brier,ece,sens@0.5,spec@0.5,sens@spec90
ptbxl_internal_logreg,PTB-XL internal (logreg),714,0.9497664560191547,0.9176321651579296,0.07531703548396172,0.03733842452673322,0.9397260273972603,0.8595988538681948,0.8438356164383561
cinc2017_external_from_logreg,CinC2017 external (trained on PTB-XL/logreg),2537,0.7885603960601624,0.5997951328546756,0.5879090801713887,0.6132985005645012,0.9841688654353562,0.09443507588532883,0.39841688654353563
cinc2017_external_strict_logreg,CinC2017 external AF-vs-N only (trained on PTB-XL/logreg),1758,0.8389063324538258,0.804490574104655,0.4706041635750785,0.49114277964625785,0.9841688654353562,0.093,0.5738786279683378
cinc2017_internal_5fold,CinC2017 internal 5-fold (in-domain reference),2537,0.9522989554180182,0.9090761412748071,0.08536169288748012,0.06866620279528798,0.7941952506596306,0.93929173693086,0.8522427440633246
ptbxl_internal_hgb,PTB-XL internal (hgb),714,0.9744004396121992,0.9719696407972803,0.06926625029067085,0.06492377501034115,0.9534246575342465,0.8796561604584527,0.9452054794520548
cinc2017_external_from_hgb,CinC2017 external (trained on PTB-XL/hgb),2537,0.885506814329001,0.7015897481054587,0.2208552528743476,0.2256836086126786,0.9406332453825857,0.671725688589095,0.5857519788918206
cinc2017_external_strict_hgb,CinC2017 external AF-vs-N only (trained on PTB-XL/hgb),1758,0.9474920844327178,0.905035664168672,0.10409293604945913,0.09874788025887549,0.9406332453825857,0.833,0.8878627968337731
cpsc2021_external_logreg,"CPSC2021 external (China, trained on PTB-XL/logreg)",583,0.9044554455445545,0.8379088467954415,0.44923388034089373,0.47630381020328827,1.0,0.039603960396039604,0.6035714285714285
cpsc2021_external_hgb,"CPSC2021 external (China, trained on PTB-XL/hgb)",583,0.9461456859971712,0.8917921375185827,0.12808368301594636,0.1432596905823706,1.0,0.7293729372937293,0.8678571428571429
cpsc2021_internal_5fold,CPSC2021 in-domain 5-fold (grouped by patient),583,0.9232319660537482,0.9168582436377022,0.13565722012491735,0.12624984741144035,0.8928571428571429,0.8118811881188119,0.7857142857142857
