domain,metric,seed0,mean,sd,min,max,n_seeds
内部 PTB-XL（患者级划分）,Se@Sp90,0.9452054794520548,0.942627742423572,0.010876912074101519,0.9246376811594202,0.9557522123893806,6
内部 PTB-XL（患者级划分）,AUROC,0.9744004396121992,0.9742617789297401,0.0015985522329747819,0.9717637669592978,0.9764492753623188,6
内部 PTB-XL（患者级划分）,AUPRC,0.9719696407972803,0.9723468638195444,0.002713982368639909,0.9682487101769528,0.9754412707112086,6
内部 PTB-XL（患者级划分）,Brier,0.06926625029067085,0.06914447431760179,0.0062591820386069435,0.060430419147274976,0.07705221988808995,6
内部 PTB-XL（患者级划分）,ECE,0.06492377501034115,0.06593160849496553,0.0076613160094108936,0.05563696498275282,0.07544616119266262,6
外部1 CinC2017（可穿戴单导联）,Se@Sp90,0.5857519788918206,0.58311345646438,0.04845838774057763,0.4947229551451187,0.6385224274406333,6
外部1 CinC2017（可穿戴单导联）,AUROC,0.8854964322845984,0.8853995950013918,0.006469680385702365,0.8735441036661966,0.8932792577134882,6
外部1 CinC2017（可穿戴单导联）,AUPRC,0.7014840940249617,0.7277835628251923,0.024867764812457224,0.6978041492544537,0.756274771247018,6
外部1 CinC2017（可穿戴单导联）,Brier,0.22073452088716689,0.20725267227417898,0.01802661299685284,0.1896184913186475,0.2306379187126594,6
外部1 CinC2017（可穿戴单导联）,ECE,0.22539846302004635,0.20926149214302392,0.020373944043226098,0.18744144075203065,0.2333371359361064,6
外部1a CinC2017 严格 A vs N,Se@Sp90,0.8905013192612137,0.8810466138962182,0.0169650358033643,0.8588390501319261,0.8970976253298153,6
外部1a CinC2017 严格 A vs N,AUROC,0.9475026385224274,0.9461368733509236,0.0027213441903627808,0.9417262532981531,0.949236147757256,6
外部1a CinC2017 严格 A vs N,AUPRC,0.905008757829704,0.914616237740292,0.006284967665915716,0.905008757829704,0.9228749225654607,6
外部1a CinC2017 严格 A vs N,Brier,0.10400691112687445,0.10007034502089239,0.009248538567660626,0.091476351957907,0.11170521408659444,6
外部1a CinC2017 严格 A vs N,ECE,0.0982896067653228,0.09057899711948818,0.0115385906824833,0.07919219106080447,0.10382895791431436,6
外部2 CPSC2021（中国动态 ECG）,Se@Sp90,0.8714285714285714,0.8291666666666666,0.04300075145680992,0.7785714285714286,0.8785714285714286,6
外部2 CPSC2021（中国动态 ECG）,AUROC,0.9461456859971712,0.9431125255382682,0.008626783942413624,0.9339698255539839,0.9547147571900048,6
外部2 CPSC2021（中国动态 ECG）,AUPRC,0.8917921375185827,0.9055145249373787,0.014216986913118367,0.8917921375185827,0.9243332602503747,6
外部2 CPSC2021（中国动态 ECG）,Brier,0.12808368301594636,0.1112265413548344,0.016671363771693915,0.09170359324054438,0.130855203722521,6
外部2 CPSC2021（中国动态 ECG）,ECE,0.1432596905823706,0.12134826644294434,0.021958852158667237,0.09701299659116254,0.14367588898021794,6
CinC2017 域内 5 折参照,Se@Sp90,0.8654353562005277,0.8603781882145998,0.0088465949238227,0.8469656992084432,0.8680738786279684,6
CinC2017 域内 5 折参照,AUROC,0.9522826407768142,0.9522267754902672,0.00046000050380497524,0.9517635385566883,0.953093181814811,6
CinC2017 域内 5 折参照,AUPRC,0.9108307896556642,0.9098933022735931,0.002506648067068868,0.9075290832656513,0.9142045315663266,6
CinC2017 域内 5 折参照,Brier,0.08588178933583272,0.08498370184781807,0.0015866185279186783,0.08241772363213619,0.08668613364231091,6
CinC2017 域内 5 折参照,ECE,0.07208916328659187,0.06918685464874182,0.003131963664445726,0.06352696357989074,0.07208916328659187,6
CPSC2021 域内分组 5 折参照,Se@Sp90,0.7857142857142857,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,6
CPSC2021 域内分组 5 折参照,AUROC,0.9232319660537482,0.9232319660537481,1.2161883888976234e-16,0.9232319660537482,0.9232319660537482,6
CPSC2021 域内分组 5 折参照,AUPRC,0.9168582436377022,0.9168582436377021,1.2161883888976234e-16,0.9168582436377022,0.9168582436377022,6
CPSC2021 域内分组 5 折参照,Brier,0.13565722012491735,0.13565722012491735,0.0,0.13565722012491735,0.13565722012491735,6
CPSC2021 域内分组 5 折参照,ECE,0.12624984741144035,0.12624984741144035,3.0404709722440586e-17,0.12624984741144035,0.12624984741144035,6
