key,dataset,n,auroc,auprc,brier,ece,sens@0.5,spec@0.5,sens@spec90
ptbxl_internal_logreg,PTB-XL internal (logreg),707,0.9706377452866486,0.9610469031759209,0.060149633015450295,0.018740576057243788,0.9321533923303835,0.9157608695652174,0.9528023598820059
cinc2017_external_from_logreg,CinC2017 external (trained on PTB-XL/logreg),2537,0.8199419792032819,0.6568372243722839,0.5279190568706781,0.56759701854979,0.9828496042216359,0.14109050028105677,0.4947229551451187
cinc2017_external_strict_logreg,CinC2017 external AF-vs-N only (trained on PTB-XL/logreg),1758,0.8546675461741424,0.8234973210654601,0.41992500683976736,0.4532310233817629,0.9828496042216359,0.136,0.6490765171503958
cinc2017_internal_5fold,CinC2017 internal 5-fold (in-domain reference),2537,0.9517635385566883,0.907945573489323,0.08620695793643016,0.07144873549418336,0.7849604221635884,0.938167509836987,0.8522427440633246
ptbxl_internal_hgb,PTB-XL internal (hgb),707,0.9764492753623188,0.9754412707112086,0.060430419147274976,0.05563696498275282,0.9498525073746312,0.9157608695652174,0.9557522123893806
cinc2017_external_from_hgb,CinC2017 external (trained on PTB-XL/hgb),2537,0.8877159650629376,0.7478258661819224,0.1896184913186475,0.18744144075203065,0.9023746701846965,0.7358066329398538,0.5936675461741425
cinc2017_external_strict_hgb,CinC2017 external AF-vs-N only (trained on PTB-XL/hgb),1758,0.949236147757256,0.9228749225654607,0.09171715215616727,0.07919219106080447,0.9023746701846965,0.891,0.8970976253298153
cpsc2021_external_logreg,"CPSC2021 external (China, trained on PTB-XL/logreg)",583,0.9276756247053277,0.9049684962644157,0.4146398262214546,0.4540502956823638,0.9964285714285714,0.08250825082508251,0.7392857142857143
cpsc2021_external_hgb,"CPSC2021 external (China, trained on PTB-XL/hgb)",583,0.9339698255539839,0.8953915819651799,0.09913324682255531,0.10423817870801678,0.9928571428571429,0.801980198019802,0.7785714285714286
cpsc2021_internal_5fold,CPSC2021 in-domain 5-fold (grouped by patient),583,0.9232319660537482,0.9168582436377022,0.13565722012491735,0.12624984741144035,0.8928571428571429,0.8118811881188119,0.7857142857142857
